week_start,store_id,sku_id,on_hand_units,safety_stock,reorder_point
2024-01-01,S003,SKU0013,5,2,5
2024-01-01,S003,SKU0233,4,2,7
2024-01-01,S003,SKU0114,9,3,12
2024-01-01,S003,SKU0145,12,3,12
2024-01-01,S003,SKU0192,5,3,12
2024-01-01,S003,SKU0032,4,2,7
2024-01-01,S003,SKU0005,14,3,12
2024-01-01,S003,SKU0016,13,3,12
2024-01-01,S003,SKU0229,7,2,5
2024-01-01,S003,SKU0197,13,3,12
2024-01-01,S003,SKU0186,4,2,5
2024-01-01,S003,SKU0084,15,3,12
2024-01-01,S003,SKU0162,9,2,7
2024-01-01,S004,SKU0079,20,5,19
2024-01-01,S004,SKU0057,10,5,19
2024-01-01,S004,SKU0210,22,5,19
2024-01-01,S004,SKU0051,30,5,19
2024-01-01,S004,SKU0050,16,5,19
2024-01-01,S004,SKU0116,9,3,10
2024-01-01,S004,SKU0013,7,2,6
2024-01-01,S004,SKU0239,27,5,19
2024-01-01,S004,SKU0053,6,2,6
2024-01-01,S004,SKU0008,6,2,6
2024-01-01,S004,SKU0207,12,5,19
2024-01-01,S004,SKU0196,16,5,19
2024-01-01,S004,SKU0167,12,3,10
2024-01-01,S004,SKU0073,11,3,10
2024-01-01,S004,SKU0047,12,5,19
2024-01-01,S004,SKU0018,21,5,19
2024-01-01,S004,SKU0200,18,5,19
2024-01-01,S004,SKU0123,16,5,19
2024-01-01,S004,SKU0230,20,5,19
2024-01-01,S004,SKU0001,5,2,6
2024-01-01,S004,SKU0064,3,2,6
2024-01-01,S004,SKU0211,7,2,6
2024-01-01,S004,SKU0109,11,5,19
2024-01-01,S004,SKU0165,13,5,19
2024-01-01,S004,SKU0015,30,5,19
2024-01-01,S004,SKU0004,4,2,6
2024-01-01,S004,SKU0100,4,3,10
2024-01-01,S004,SKU0101,7,3,10
2024-01-01,S004,SKU0158,3,2,6
2024-01-01,S004,SKU0160,5,2,6
2024-01-01,S005,SKU0153,26,5,19
2024-01-01,S005,SKU0005,12,5,19
2024-01-01,S005,SKU0162,7,3,10
2024-01-01,S005,SKU0245,21,5,19
2024-01-01,S005,SKU0131,27,5,19
2024-01-01,S005,SKU0224,10,3,10
2024-01-01,S005,SKU0186,7,2,6
2024-01-01,S005,SKU0147,22,5,19
2024-01-01,S005,SKU0182,8,3,10
2024-01-01,S005,SKU0230,22,5,19
2024-01-01,S005,SKU0217,9,5,19
2024-01-01,S005,SKU0119,9,5,19
2024-01-01,S005,SKU0164,23,5,19
2024-01-01,S005,SKU0231,18,5,19
2024-01-01,S005,SKU0175,19,5,19
2024-01-01,S005,SKU0250,20,5,19
2024-01-01,S005,SKU0214,8,3,10
2024-01-01,S005,SKU0136,15,5,19
2024-01-01,S005,SKU0248,17,5,19
2024-01-01,S005,SKU0069,23,5,19
2024-01-01,S005,SKU0139,5,2,6
2024-01-01,S005,SKU0060,20,5,19
2024-01-01,S005,SKU0052,15,5,19
2024-01-01,S005,SKU0173,17,5,19
2024-01-01,S005,SKU0029,16,5,19
2024-01-01,S005,SKU0157,25,5,19
2024-01-01,S005,SKU0225,23,5,19
2024-01-01,S005,SKU0036,13,5,19
2024-01-01,S005,SKU0125,10,5,19
2024-01-01,S005,SKU0063,18,5,19
2024-01-01,S006,SKU0128,14,3,12
2024-01-01,S006,SKU0168,10,2,7
2024-01-01,S006,SKU0217,10,3,12
2024-01-01,S006,SKU0068,18,3,12
2024-01-01,S006,SKU0199,26,3,12
2024-01-01,S006,SKU0243,10,3,12
2024-01-01,S006,SKU0070,12,3,12
2024-01-01,S006,SKU0209,20,3,12
2024-01-01,S006,SKU0059,14,3,12
2024-01-01,S006,SKU0098,7,3,12
2024-01-01,S006,SKU0213,9,3,12
2024-01-01,S006,SKU0210,5,3,12
2024-01-01,S006,SKU0220,16,3,12
2024-01-01,S006,SKU0242,4,2,5
2024-01-01,S006,SKU0202,7,2,7
2024-01-01,S006,SKU0236,3,2,7
2024-01-01,S006,SKU0084,10,3,12
2024-01-01,S006,SKU0073,4,2,7
2024-01-01,S006,SKU0159,2,2,5
2024-01-01,S006,SKU0114,15,3,12
2024-01-01,S006,SKU0040,5,2,5
2024-01-01,S006,SKU0179,9,2,7
2024-01-01,S006,SKU0014,7,2,7
2024-01-01,S006,SKU0175,15,3,12
2024-01-01,S006,SKU0135,12,3,12
2024-01-01,S006,SKU0112,13,3,12
2024-01-01,S006,SKU0077,4,3,12
2024-01-01,S006,SKU0107,12,3,12
2024-01-01,S006,SKU0034,10,3,12
2024-01-01,S006,SKU0174,3,2,7
2024-01-01,S007,SKU0019,8,2,7
2024-01-01,S007,SKU0005,19,3,12
2024-01-01,S007,SKU0053,5,2,5
2024-01-01,S007,SKU0202,5,2,7
2024-01-01,S007,SKU0161,7,3,12
2024-01-01,S007,SKU0123,7,3,12
2024-01-01,S007,SKU0016,19,3,12
2024-01-01,S007,SKU0217,9,3,12
2024-01-01,S007,SKU0249,9,3,12
2024-01-01,S007,SKU0046,7,2,7
2024-01-01,S007,SKU0137,7,2,7
2024-01-01,S007,SKU0180,6,2,5
2024-01-01,S007,SKU0050,16,3,12
2024-01-01,S007,SKU0192,8,3,12
2024-01-01,S007,SKU0001,3,2,5
2024-01-01,S007,SKU0097,9,3,12
2024-01-01,S007,SKU0241,4,2,7
2024-01-01,S007,SKU0204,8,3,12
2024-01-01,S007,SKU0183,4,3,12
2024-01-01,S007,SKU0207,10,3,12
2024-01-01,S007,SKU0175,9,3,12
2024-01-01,S007,SKU0034,12,3,12
2024-01-01,S007,SKU0143,6,2,7
2024-01-01,S007,SKU0094,5,3,12
2024-01-01,S007,SKU0006,7,2,7
2024-01-01,S007,SKU0188,8,3,12
2024-01-01,S007,SKU0193,9,3,12
2024-01-01,S007,SKU0043,7,2,5
2024-01-01,S007,SKU0139,3,2,5
2024-01-01,S007,SKU0077,9,3,12
2024-01-01,S008,SKU0035,13,5,19
2024-01-01,S008,SKU0197,20,5,19
2024-01-01,S008,SKU0200,16,5,19
2024-01-01,S008,SKU0129,18,5,19
2024-01-01,S008,SKU0221,23,5,19
2024-01-01,S008,SKU0250,13,5,19
2024-01-01,S008,SKU0206,20,5,19
2024-01-01,S008,SKU0162,9,3,10
2024-01-01,S008,SKU0086,14,5,19
2024-01-01,S008,SKU0141,8,5,19
2024-01-01,S008,SKU0109,13,5,19
2024-01-01,S008,SKU0026,17,5,19
2024-01-01,S008,SKU0061,6,2,6
2024-01-01,S008,SKU0171,3,5,19
2024-01-01,S008,SKU0023,7,3,10
2024-01-01,S008,SKU0220,21,5,19
2024-01-01,S008,SKU0219,9,3,10
2024-01-01,S008,SKU0069,25,5,19
2024-01-01,S008,SKU0134,21,5,19
2024-01-01,S008,SKU0076,29,5,19
2024-01-01,S008,SKU0182,1,3,10
2024-01-01,S008,SKU0192,21,5,19
2024-01-01,S008,SKU0208,2,2,6
2024-01-01,S008,SKU0166,20,5,19
2024-01-01,S008,SKU0053,5,2,6
2024-01-01,S008,SKU0150,3,5,19
2024-01-01,S008,SKU0043,6,2,6
2024-01-01,S008,SKU0142,11,5,19
2024-01-01,S008,SKU0225,13,5,19
2024-01-01,S008,SKU0213,21,5,19
2024-01-01,S009,SKU0101,8,2,7
2024-01-01,S009,SKU0019,5,2,7
2024-01-01,S009,SKU0063,7,3,12
2024-01-01,S009,SKU0113,12,3,12
2024-01-01,S009,SKU0056,5,2,5
2024-01-01,S009,SKU0014,8,2,7
2024-01-01,S009,SKU0042,7,2,7
2024-01-01,S009,SKU0043,1,2,5
2024-01-01,S009,SKU0050,17,3,12
2024-01-01,S009,SKU0131,13,3,12
2024-01-01,S009,SKU0055,5,2,5
2024-01-01,S009,SKU0167,8,2,7
2024-01-01,S009,SKU0102,8,2,5
2024-01-01,S009,SKU0100,5,2,7
2024-01-01,S009,SKU0072,8,3,12
2024-01-01,S009,SKU0051,8,3,12
2024-01-01,S009,SKU0151,6,2,7
2024-01-01,S009,SKU0015,4,3,12
2024-01-01,S009,SKU0078,6,2,5
2024-01-01,S009,SKU0047,8,3,12
2024-01-01,S009,SKU0191,4,2,7
2024-01-01,S009,SKU0150,13,3,12
2024-01-01,S009,SKU0221,9,3,12
2024-01-01,S009,SKU0053,5,2,5
2024-01-01,S009,SKU0086,17,3,12
2024-01-01,S009,SKU0143,7,2,7
2024-01-01,S009,SKU0250,8,3,12
2024-01-01,S009,SKU0001,10,2,5
2024-01-01,S009,SKU0184,11,3,12
2024-01-01,S009,SKU0228,6,3,12
2024-01-01,S010,SKU0166,17,5,19
2024-01-01,S010,SKU0059,18,5,19
2024-01-01,S010,SKU0153,17,5,19
2024-01-01,S010,SKU0054,5,2,6
2024-01-01,S010,SKU0152,10,3,10
2024-01-01,S010,SKU0209,14,5,19
2024-01-01,S010,SKU0089,11,5,19
2024-01-01,S010,SKU0170,7,3,10
2024-01-01,S010,SKU0207,12,5,19
2024-01-01,S010,SKU0118,5,2,6
2024-01-01,S010,SKU0197,21,5,19
2024-01-01,S010,SKU0051,10,5,19
2024-01-01,S010,SKU0243,33,5,19
2024-01-01,S010,SKU0085,23,5,19
2024-01-01,S010,SKU0057,26,5,19
2024-01-01,S010,SKU0229,6,2,6
2024-01-01,S010,SKU0131,11,5,19
2024-01-01,S010,SKU0026,19,5,19
2024-01-01,S010,SKU0228,24,5,19
2024-01-01,S010,SKU0024,12,3,10
2024-01-01,S010,SKU0062,19,5,19
2024-01-01,S010,SKU0066,10,5,19
2024-01-01,S010,SKU0023,9,3,10
2024-01-01,S010,SKU0025,3,2,6
2024-01-01,S010,SKU0186,10,2,6
2024-01-01,S010,SKU0039,27,5,19
2024-01-01,S010,SKU0099,16,5,19
2024-01-01,S010,SKU0195,29,5,19
2024-01-01,S010,SKU0067,16,5,19
2024-01-01,S010,SKU0126,10,5,19
2024-01-01,S011,SKU0145,16,3,12
2024-01-01,S011,SKU0117,5,2,5
2024-01-01,S011,SKU0015,13,3,12
2024-01-01,S011,SKU0208,4,2,5
2024-01-01,S011,SKU0106,4,2,5
2024-01-01,S011,SKU0033,6,3,12
2024-01-01,S011,SKU0158,3,2,5
2024-01-01,S011,SKU0003,7,2,7
2024-01-01,S011,SKU0072,8,3,12
2024-01-01,S011,SKU0121,10,3,12
2024-01-01,S011,SKU0219,4,2,7
2024-01-01,S011,SKU0022,8,3,12
2024-01-01,S011,SKU0092,6,2,5
2024-01-01,S011,SKU0060,12,3,12
2024-01-01,S011,SKU0118,6,2,5
2024-01-01,S011,SKU0032,4,2,7
2024-01-01,S011,SKU0195,8,3,12
2024-01-01,S011,SKU0184,13,3,12
2024-01-01,S011,SKU0069,6,3,12
2024-01-01,S011,SKU0239,11,3,12
2024-01-01,S011,SKU0213,6,3,12
2024-01-01,S011,SKU0218,14,3,12
2024-01-01,S011,SKU0071,9,3,12
2024-01-01,S011,SKU0191,5,2,7
2024-01-01,S011,SKU0133,10,3,12
2024-01-01,S011,SKU0141,10,3,12
2024-01-01,S011,SKU0057,21,3,12
2024-01-01,S011,SKU0100,4,2,7
2024-01-01,S011,SKU0044,8,3,12
2024-01-01,S011,SKU0142,2,3,12
2024-01-01,S012,SKU0155,12,3,12
2024-01-01,S012,SKU0183,13,3,12
2024-01-01,S012,SKU0070,9,3,12
2024-01-01,S012,SKU0085,16,3,12
2024-01-01,S012,SKU0147,6,3,12
2024-01-01,S012,SKU0105,4,2,5
2024-01-01,S012,SKU0193,3,3,12
2024-01-01,S012,SKU0073,6,2,7
2024-01-01,S012,SKU0163,7,3,12
2024-01-01,S012,SKU0002,12,3,12
2024-01-01,S012,SKU0082,10,3,12
2024-01-01,S012,SKU0199,4,3,12
2024-01-01,S012,SKU0009,8,3,12
2024-01-01,S012,SKU0190,8,3,12
2024-01-01,S012,SKU0112,14,3,12
2024-01-01,S012,SKU0020,3,2,5
2024-01-01,S012,SKU0080,4,2,5
2024-01-01,S012,SKU0168,6,2,7
2024-01-01,S012,SKU0246,7,2,7
2024-01-01,S012,SKU0077,15,3,12
2024-01-01,S012,SKU0074,16,3,12
2024-01-01,S012,SKU0154,11,3,12
2024-01-01,S012,SKU0224,9,2,7
2024-01-01,S012,SKU0035,13,3,12
2024-01-01,S012,SKU0167,1,2,7
2024-01-01,S012,SKU0184,12,3,12
2024-01-01,S012,SKU0157,19,3,12
2024-01-01,S012,SKU0066,11,3,12
2024-01-01,S012,SKU0205,20,3,12
2024-01-01,S012,SKU0212,10,3,12
2024-01-01,S013,SKU0139,4,2,6
2024-01-01,S013,SKU0232,24,5,19
2024-01-01,S013,SKU0006,7,3,10
2024-01-01,S013,SKU0037,30,5,19
2024-01-01,S013,SKU0015,17,5,19
2024-01-01,S013,SKU0145,23,5,19
2024-01-01,S013,SKU0141,19,5,19
2024-01-01,S013,SKU0239,32,5,19
2024-01-01,S013,SKU0087,7,2,6
2024-01-01,S013,SKU0222,10,5,19
2024-01-01,S013,SKU0245,23,5,19
2024-01-01,S013,SKU0223,4,2,6
2024-01-01,S013,SKU0122,3,2,6
2024-01-01,S013,SKU0148,14,5,19
2024-01-01,S013,SKU0102,6,2,6
2024-01-01,S013,SKU0017,11,5,19
2024-01-01,S013,SKU0158,8,2,6
2024-01-01,S013,SKU0049,9,2,6
2024-01-01,S013,SKU0184,17,5,19
2024-01-01,S013,SKU0140,11,5,19
2024-01-01,S013,SKU0206,13,5,19
2024-01-01,S013,SKU0084,22,5,19
2024-01-01,S013,SKU0114,29,5,19
2024-01-01,S013,SKU0041,21,5,19
2024-01-01,S013,SKU0151,2,3,10
2024-01-01,S013,SKU0207,9,5,19
2024-01-01,S013,SKU0088,10,5,19
2024-01-01,S013,SKU0026,12,5,19
2024-01-01,S013,SKU0196,10,5,19
2024-01-01,S013,SKU0105,5,2,6
2024-01-01,S014,SKU0238,1,2,6
2024-01-01,S014,SKU0131,28,5,19
2024-01-01,S014,SKU0212,9,5,19
2024-01-01,S014,SKU0138,28,5,19
2024-01-01,S014,SKU0161,32,5,19
2024-01-01,S014,SKU0106,3,2,6
2024-01-01,S014,SKU0152,15,3,10
2024-01-01,S014,SKU0239,9,5,19
2024-01-01,S014,SKU0047,12,5,19
2024-01-01,S014,SKU0020,6,2,6
2024-01-01,S014,SKU0039,17,5,19
2024-01-01,S014,SKU0036,27,5,19
2024-01-01,S014,SKU0168,8,3,10
2024-01-01,S014,SKU0086,15,5,19
2024-01-01,S014,SKU0120,5,2,6
2024-01-01,S014,SKU0190,10,5,19
2024-01-01,S014,SKU0176,19,5,19
2024-01-01,S014,SKU0130,10,5,19
2024-01-01,S014,SKU0019,8,3,10
2024-01-01,S014,SKU0072,19,5,19
2024-01-01,S014,SKU0118,6,2,6
2024-01-01,S014,SKU0111,21,5,19
2024-01-01,S014,SKU0003,0,3,10
2024-01-01,S014,SKU0193,26,5,19
2024-01-01,S014,SKU0245,27,5,19
2024-01-01,S014,SKU0135,2,5,19
2024-01-01,S014,SKU0083,6,3,10
2024-01-01,S014,SKU0051,17,5,19
2024-01-01,S014,SKU0093,27,5,19
2024-01-01,S014,SKU0052,20,5,19
2024-01-01,S015,SKU0072,13,3,12
2024-01-01,S015,SKU0009,10,3,12
2024-01-01,S015,SKU0054,5,2,5
2024-01-01,S015,SKU0137,4,2,7
2024-01-01,S015,SKU0177,11,3,12
2024-01-01,S015,SKU0085,18,3,12
2024-01-01,S015,SKU0037,17,3,12
2024-01-01,S015,SKU0192,15,3,12
2024-01-01,S015,SKU0010,4,3,12
2024-01-01,S015,SKU0098,8,3,12
2024-01-01,S015,SKU0020,3,2,5
2024-01-01,S015,SKU0169,11,3,12
2024-01-01,S015,SKU0089,12,3,12
2024-01-01,S015,SKU0240,10,3,12
2024-01-01,S015,SKU0143,4,2,7
2024-01-01,S015,SKU0136,7,3,12
2024-01-01,S015,SKU0017,10,3,12
2024-01-01,S015,SKU0125,17,3,12
2024-01-01,S015,SKU0148,24,3,12
2024-01-01,S015,SKU0040,6,2,5
2024-01-01,S015,SKU0032,5,2,7
2024-01-01,S015,SKU0074,8,3,12
2024-01-01,S015,SKU0116,7,2,7
2024-01-01,S015,SKU0058,12,3,12
2024-01-01,S015,SKU0033,11,3,12
2024-01-01,S015,SKU0086,15,3,12
2024-01-01,S015,SKU0227,3,3,12
2024-01-01,S015,SKU0181,9,2,7
2024-01-01,S015,SKU0106,6,2,5
2024-01-01,S015,SKU0228,17,3,12
2024-01-01,S016,SKU0081,6,2,6
2024-01-01,S016,SKU0156,4,2,6
2024-01-01,S016,SKU0052,16,5,19
2024-01-01,S016,SKU0197,22,5,19
2024-01-01,S016,SKU0091,7,5,19
2024-01-01,S016,SKU0105,8,2,6
2024-01-01,S016,SKU0025,8,2,6
2024-01-01,S016,SKU0111,9,5,19
2024-01-01,S016,SKU0070,9,5,19
2024-01-01,S016,SKU0062,22,5,19
2024-01-01,S016,SKU0047,13,5,19
2024-01-01,S016,SKU0218,22,5,19
2024-01-01,S016,SKU0150,9,5,19
2024-01-01,S016,SKU0240,15,5,19
2024-01-01,S016,SKU0130,23,5,19
2024-01-01,S016,SKU0158,6,2,6
2024-01-01,S016,SKU0210,23,5,19
2024-01-01,S016,SKU0045,3,3,10
2024-01-01,S016,SKU0140,28,5,19
2024-01-01,S016,SKU0048,6,5,19
2024-01-01,S016,SKU0151,13,3,10
2024-01-01,S016,SKU0167,12,3,10
2024-01-01,S016,SKU0044,20,5,19
2024-01-01,S016,SKU0014,6,3,10
2024-01-01,S016,SKU0233,8,3,10
2024-01-01,S016,SKU0033,15,5,19
2024-01-01,S016,SKU0157,14,5,19
2024-01-01,S016,SKU0015,13,5,19
2024-01-01,S016,SKU0071,14,5,19
2024-01-01,S016,SKU0083,10,3,10
2024-01-01,S017,SKU0095,9,3,12
2024-01-01,S017,SKU0069,18,3,12
2024-01-01,S017,SKU0010,12,3,12
2024-01-01,S017,SKU0049,5,2,5
2024-01-01,S017,SKU0023,10,2,7
2024-01-01,S017,SKU0222,11,3,12
2024-01-01,S017,SKU0042,5,2,7
2024-01-01,S017,SKU0171,13,3,12
2024-01-01,S017,SKU0101,6,2,7
2024-01-01,S017,SKU0009,11,3,12
2024-01-01,S017,SKU0137,6,2,7
2024-01-01,S017,SKU0065,3,2,5
2024-01-01,S017,SKU0004,5,2,5
2024-01-01,S017,SKU0051,19,3,12
2024-01-01,S017,SKU0201,3,2,5
2024-01-01,S017,SKU0225,13,3,12
2024-01-01,S017,SKU0158,5,2,5
2024-01-01,S017,SKU0125,13,3,12
2024-01-01,S017,SKU0106,2,2,5
2024-01-01,S017,SKU0059,13,3,12
2024-01-01,S017,SKU0151,4,2,7
2024-01-01,S017,SKU0037,13,3,12
2024-01-01,S017,SKU0163,6,3,12
2024-01-01,S017,SKU0186,2,2,5
2024-01-01,S017,SKU0210,5,3,12
2024-01-01,S017,SKU0211,2,2,5
2024-01-01,S017,SKU0032,5,2,7
2024-01-01,S017,SKU0108,10,3,12
2024-01-01,S017,SKU0232,9,3,12
2024-01-01,S017,SKU0081,6,2,5
2024-01-01,S018,SKU0053,5,2,6
2024-01-01,S018,SKU0017,29,5,19
2024-01-01,S018,SKU0013,6,2,6
2024-01-01,S018,SKU0036,17,5,19
2024-01-01,S018,SKU0102,6,2,6
2024-01-01,S018,SKU0164,21,5,19
2024-01-01,S018,SKU0150,14,5,19
2024-01-01,S018,SKU0091,13,5,19
2024-01-01,S018,SKU0021,3,2,6
2024-01-01,S018,SKU0047,25,5,19
2024-01-01,S018,SKU0007,6,2,6
2024-01-01,S018,SKU0048,16,5,19
2024-01-01,S018,SKU0038,21,5,19
2024-01-01,S018,SKU0201,6,2,6
2024-01-01,S018,SKU0179,13,3,10
2024-01-01,S018,SKU0147,13,5,19
2024-01-01,S018,SKU0186,7,2,6
2024-01-01,S018,SKU0245,17,5,19
2024-01-01,S018,SKU0242,5,2,6
2024-01-01,S018,SKU0060,25,5,19
2024-01-01,S018,SKU0068,26,5,19
2024-01-01,S018,SKU0132,9,3,10
2024-01-01,S018,SKU0139,5,2,6
2024-01-01,S018,SKU0039,13,5,19
2024-01-01,S018,SKU0244,14,5,19
2024-01-01,S018,SKU0122,6,2,6
2024-01-01,S018,SKU0105,2,2,6
2024-01-01,S018,SKU0042,6,3,10
2024-01-01,S018,SKU0204,9,5,19
2024-01-01,S018,SKU0057,19,5,19
2024-01-01,S019,SKU0018,13,3,12
2024-01-01,S019,SKU0053,5,2,5
2024-01-01,S019,SKU0212,10,3,12
2024-01-01,S019,SKU0197,16,3,12
2024-01-01,S019,SKU0063,9,3,12
2024-01-01,S019,SKU0179,3,2,7
2024-01-01,S019,SKU0175,7,3,12
2024-01-01,S019,SKU0126,18,3,12
2024-01-01,S019,SKU0129,13,3,12
2024-01-01,S019,SKU0095,11,3,12
2024-01-01,S019,SKU0232,11,3,12
2024-01-01,S019,SKU0235,0,2,7
2024-01-01,S019,SKU0215,7,2,5
2024-01-01,S019,SKU0220,19,3,12
2024-01-01,S019,SKU0019,9,2,7
2024-01-01,S019,SKU0024,7,2,7
2024-01-01,S019,SKU0227,11,3,12
2024-01-01,S019,SKU0244,6,3,12
2024-01-01,S019,SKU0041,8,3,12
2024-01-01,S019,SKU0045,5,2,7
2024-01-01,S019,SKU0134,8,3,12
2024-01-01,S019,SKU0002,19,3,12
2024-01-01,S019,SKU0166,14,3,12
2024-01-01,S019,SKU0112,15,3,12
2024-01-01,S019,SKU0100,11,2,7
2024-01-01,S019,SKU0079,14,3,12
2024-01-01,S019,SKU0066,15,3,12
2024-01-01,S019,SKU0136,4,3,12
2024-01-01,S019,SKU0101,5,2,7
2024-01-01,S019,SKU0223,6,2,5
2024-01-01,S020,SKU0086,14,5,19
2024-01-01,S020,SKU0079,29,5,19
2024-01-01,S020,SKU0185,2,2,6
2024-01-01,S020,SKU0070,17,5,19
2024-01-01,S020,SKU0181,14,3,10
2024-01-01,S020,SKU0111,32,5,19
2024-01-01,S020,SKU0161,21,5,19
2024-01-01,S020,SKU0216,8,2,6
2024-01-01,S020,SKU0106,9,2,6
2024-01-01,S020,SKU0030,9,2,6
2024-01-01,S020,SKU0091,27,5,19
2024-01-01,S020,SKU0224,11,3,10
2024-01-01,S020,SKU0235,5,3,10
2024-01-01,S020,SKU0062,15,5,19
2024-01-01,S020,SKU0246,11,3,10
2024-01-01,S020,SKU0141,14,5,19
2024-01-01,S020,SKU0180,3,2,6
2024-01-01,S020,SKU0189,2,2,6
2024-01-01,S020,SKU0029,18,5,19
2024-01-01,S020,SKU0158,5,2,6
2024-01-01,S020,SKU0217,8,5,19
2024-01-01,S020,SKU0160,7,2,6
2024-01-01,S020,SKU0230,18,5,19
2024-01-01,S020,SKU0021,9,2,6
2024-01-01,S020,SKU0033,7,5,19
2024-01-01,S020,SKU0229,5,2,6
2024-01-01,S020,SKU0072,34,5,19
2024-01-01,S020,SKU0017,20,5,19
2024-01-01,S020,SKU0199,18,5,19
2024-01-01,S020,SKU0105,7,2,6
2024-01-01,S021,SKU0171,15,3,12
2024-01-01,S021,SKU0074,10,3,12
2024-01-01,S021,SKU0210,17,3,12
2024-01-01,S021,SKU0163,6,3,12
2024-01-01,S021,SKU0016,12,3,12
2024-01-01,S021,SKU0168,4,2,7
2024-01-01,S021,SKU0245,9,3,12
2024-01-01,S021,SKU0165,7,3,12
2024-01-01,S021,SKU0238,5,2,5
2024-01-01,S021,SKU0102,2,2,5
2024-01-01,S021,SKU0208,3,2,5
2024-01-01,S021,SKU0154,8,3,12
2024-01-01,S021,SKU0083,10,2,7
2024-01-01,S021,SKU0180,5,2,5
2024-01-01,S021,SKU0215,5,2,5
2024-01-01,S021,SKU0214,4,2,7
2024-01-01,S021,SKU0244,12,3,12
2024-01-01,S021,SKU0040,1,2,5
2024-01-01,S021,SKU0025,6,2,5
2024-01-01,S021,SKU0123,18,3,12
2024-01-01,S021,SKU0170,9,2,7
2024-01-01,S021,SKU0089,7,3,12
2024-01-01,S021,SKU0133,12,3,12
2024-01-01,S021,SKU0059,13,3,12
2024-01-01,S021,SKU0026,14,3,12
2024-01-01,S021,SKU0043,6,2,5
2024-01-01,S021,SKU0099,15,3,12
2024-01-01,S021,SKU0038,14,3,12
2024-01-01,S021,SKU0095,7,3,12
2024-01-01,S021,SKU0052,11,3,12
2024-01-01,S022,SKU0007,5,2,6
2024-01-01,S022,SKU0100,7,3,10
2024-01-01,S022,SKU0075,18,5,19
